-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:04:50                       -
-----------------------------------------------------------------------------
	Shoulder Position: 130.0		Elbow Position: 180.0
-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:05:28                       -
-----------------------------------------------------------------------------
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 179.9232
	Shoulder Position: 130.0064		Elbow Position: 178.5888
	Shoulder Position: 130.0064		Elbow Position: 175.3344
	Shoulder Position: 130.0064		Elbow Position: 178.56
	Shoulder Position: 130.0064		Elbow Position: 179.2992
	Shoulder Position: 130.0064		Elbow Position: 182.0832
	Shoulder Position: 130.0064		Elbow Position: 183.8592
	Shoulder Position: 130.0064		Elbow Position: 188.7552
	Shoulder Position: 130.0064		Elbow Position: 193.73760000000001
	Shoulder Position: 130.0064		Elbow Position: 198.768
	Shoulder Position: 130.0064		Elbow Position: 203.7408
	Shoulder Position: 130.0064		Elbow Position: 208.7712
	Shoulder Position: 130.0064		Elbow Position: 213.7536
	Shoulder Position: 130.0064		Elbow Position: 218.7648
	Shoulder Position: 132.7008		Elbow Position: 221.8368
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.16		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 221.8272
	Shoulder Position: 138.1536		Elbow Position: 222.0288
	Shoulder Position: 138.16		Elbow Position: 223.7184
	Shoulder Position: 138.16		Elbow Position: 223.6704
	Shoulder Position: 138.16		Elbow Position: 219.2736
	Shoulder Position: 138.16		Elbow Position: 214.2624
	Shoulder Position: 138.16		Elbow Position: 209.28
	Shoulder Position: 138.16		Elbow Position: 204.2496
	Shoulder Position: 138.16		Elbow Position: 200.9664
	Shoulder Position: 138.16		Elbow Position: 200.9664
	Shoulder Position: 138.16		Elbow Position: 199.5456
	Shoulder Position: 138.16		Elbow Position: 198.4416
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
